"Replicate","Phage.Genotype","Host.Environment","Host.Timepoint","Host.Genotype","Infected","Phage.Timepoint","Environment","Resistant"
"2.1","1","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h1",1,"t1","Contemporary",0
"2.1","1","Future","t4","h1",0,"t1","Future",1
"2.1","2","Future","t4","h1",0,"t1","Future",1
"2.1","3","Future","t4","h1",0,"t1","Future",1
"2.1","4","Future","t4","h1",0,"t1","Future",1
"2.1","5","Future","t4","h1",0,"t1","Future",1
"2.1","6","Future","t4","h1",0,"t1","Future",1
"2.1","7","Future","t4","h1",0,"t1","Future",1
"2.1","8","Future","t4","h1",0,"t1","Future",1
"2.1","9","Future","t4","h1",0,"t1","Future",1
"2.1","10","Future","t4","h1",0,"t1","Future",1
"2.1","11","Future","t4","h1",0,"t1","Future",1
"2.1","12","Future","t4","h1",0,"t1","Future",1
"2.1","1","Future","t9","h1",0,"t1","Future",1
"2.1","2","Future","t9","h1",0,"t1","Future",1
"2.1","3","Future","t9","h1",0,"t1","Future",1
"2.1","4","Future","t9","h1",0,"t1","Future",1
"2.1","5","Future","t9","h1",0,"t1","Future",1
"2.1","6","Future","t9","h1",0,"t1","Future",1
"2.1","7","Future","t9","h1",0,"t1","Future",1
"2.1","8","Future","t9","h1",0,"t1","Future",1
"2.1","9","Future","t9","h1",0,"t1","Future",1
"2.1","10","Future","t9","h1",0,"t1","Future",1
"2.1","11","Future","t9","h1",0,"t1","Future",1
"2.1","12","Future","t9","h1",0,"t1","Future",1
"2.1","1","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h2",1,"t1","Contemporary",0
"2.1","1","Future","t4","h2",0,"t1","Future",1
"2.1","2","Future","t4","h2",0,"t1","Future",1
"2.1","3","Future","t4","h2",0,"t1","Future",1
"2.1","4","Future","t4","h2",0,"t1","Future",1
"2.1","5","Future","t4","h2",0,"t1","Future",1
"2.1","6","Future","t4","h2",0,"t1","Future",1
"2.1","7","Future","t4","h2",0,"t1","Future",1
"2.1","8","Future","t4","h2",0,"t1","Future",1
"2.1","9","Future","t4","h2",0,"t1","Future",1
"2.1","10","Future","t4","h2",0,"t1","Future",1
"2.1","11","Future","t4","h2",0,"t1","Future",1
"2.1","12","Future","t4","h2",0,"t1","Future",1
"2.1","1","Future","t9","h2",0,"t1","Future",1
"2.1","2","Future","t9","h2",0,"t1","Future",1
"2.1","3","Future","t9","h2",0,"t1","Future",1
"2.1","4","Future","t9","h2",0,"t1","Future",1
"2.1","5","Future","t9","h2",0,"t1","Future",1
"2.1","6","Future","t9","h2",0,"t1","Future",1
"2.1","7","Future","t9","h2",0,"t1","Future",1
"2.1","8","Future","t9","h2",0,"t1","Future",1
"2.1","9","Future","t9","h2",0,"t1","Future",1
"2.1","10","Future","t9","h2",0,"t1","Future",1
"2.1","11","Future","t9","h2",0,"t1","Future",1
"2.1","12","Future","t9","h2",0,"t1","Future",1
"2.1","1","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h3",1,"t1","Contemporary",0
"2.1","1","Future","t4","h3",1,"t1","Future",0
"2.1","2","Future","t4","h3",1,"t1","Future",0
"2.1","3","Future","t4","h3",1,"t1","Future",0
"2.1","4","Future","t4","h3",1,"t1","Future",0
"2.1","5","Future","t4","h3",1,"t1","Future",0
"2.1","6","Future","t4","h3",1,"t1","Future",0
"2.1","7","Future","t4","h3",1,"t1","Future",0
"2.1","8","Future","t4","h3",1,"t1","Future",0
"2.1","9","Future","t4","h3",1,"t1","Future",0
"2.1","10","Future","t4","h3",1,"t1","Future",0
"2.1","11","Future","t4","h3",1,"t1","Future",0
"2.1","12","Future","t4","h3",1,"t1","Future",0
"2.1","1","Future","t9","h3",0,"t1","Future",1
"2.1","2","Future","t9","h3",0,"t1","Future",1
"2.1","3","Future","t9","h3",0,"t1","Future",1
"2.1","4","Future","t9","h3",0,"t1","Future",1
"2.1","5","Future","t9","h3",0,"t1","Future",1
"2.1","6","Future","t9","h3",0,"t1","Future",1
"2.1","7","Future","t9","h3",0,"t1","Future",1
"2.1","8","Future","t9","h3",0,"t1","Future",1
"2.1","9","Future","t9","h3",0,"t1","Future",1
"2.1","10","Future","t9","h3",0,"t1","Future",1
"2.1","11","Future","t9","h3",0,"t1","Future",1
"2.1","12","Future","t9","h3",0,"t1","Future",1
"2.1","1","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h4",1,"t1","Contemporary",0
"2.1","1","Future","t4","h4",0,"t1","Future",1
"2.1","2","Future","t4","h4",0,"t1","Future",1
"2.1","3","Future","t4","h4",0,"t1","Future",1
"2.1","4","Future","t4","h4",0,"t1","Future",1
"2.1","5","Future","t4","h4",0,"t1","Future",1
"2.1","6","Future","t4","h4",0,"t1","Future",1
"2.1","7","Future","t4","h4",0,"t1","Future",1
"2.1","8","Future","t4","h4",0,"t1","Future",1
"2.1","9","Future","t4","h4",0,"t1","Future",1
"2.1","10","Future","t4","h4",0,"t1","Future",1
"2.1","11","Future","t4","h4",0,"t1","Future",1
"2.1","12","Future","t4","h4",0,"t1","Future",1
"2.1","1","Future","t9","h4",0,"t1","Future",1
"2.1","2","Future","t9","h4",0,"t1","Future",1
"2.1","3","Future","t9","h4",0,"t1","Future",1
"2.1","4","Future","t9","h4",0,"t1","Future",1
"2.1","5","Future","t9","h4",0,"t1","Future",1
"2.1","6","Future","t9","h4",0,"t1","Future",1
"2.1","7","Future","t9","h4",0,"t1","Future",1
"2.1","8","Future","t9","h4",0,"t1","Future",1
"2.1","9","Future","t9","h4",0,"t1","Future",1
"2.1","10","Future","t9","h4",0,"t1","Future",1
"2.1","11","Future","t9","h4",0,"t1","Future",1
"2.1","12","Future","t9","h4",0,"t1","Future",1
"2.1","1","Contemporary","t1","h5",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h5",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h5",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h5",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h5",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h5",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h5",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h5",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h5",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h5",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h5",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h5",1,"t1","Contemporary",0
"2.1","1","Future","t4","h5",0,"t1","Future",1
"2.1","2","Future","t4","h5",0,"t1","Future",1
"2.1","3","Future","t4","h5",0,"t1","Future",1
"2.1","4","Future","t4","h5",0,"t1","Future",1
"2.1","5","Future","t4","h5",0,"t1","Future",1
"2.1","6","Future","t4","h5",0,"t1","Future",1
"2.1","7","Future","t4","h5",0,"t1","Future",1
"2.1","8","Future","t4","h5",0,"t1","Future",1
"2.1","9","Future","t4","h5",0,"t1","Future",1
"2.1","10","Future","t4","h5",0,"t1","Future",1
"2.1","11","Future","t4","h5",0,"t1","Future",1
"2.1","12","Future","t4","h5",0,"t1","Future",1
"2.1","1","Future","t9","h5",0,"t1","Future",1
"2.1","2","Future","t9","h5",0,"t1","Future",1
"2.1","3","Future","t9","h5",0,"t1","Future",1
"2.1","4","Future","t9","h5",0,"t1","Future",1
"2.1","5","Future","t9","h5",0,"t1","Future",1
"2.1","6","Future","t9","h5",0,"t1","Future",1
"2.1","7","Future","t9","h5",0,"t1","Future",1
"2.1","8","Future","t9","h5",0,"t1","Future",1
"2.1","9","Future","t9","h5",0,"t1","Future",1
"2.1","10","Future","t9","h5",0,"t1","Future",1
"2.1","11","Future","t9","h5",0,"t1","Future",1
"2.1","12","Future","t9","h5",0,"t1","Future",1
"2.1","1","Contemporary","t1","h6",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h6",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h6",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h6",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h6",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h6",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h6",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h6",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h6",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h6",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h6",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h6",1,"t1","Contemporary",0
"2.1","1","Future","t4","h6",0,"t1","Future",1
"2.1","2","Future","t4","h6",0,"t1","Future",1
"2.1","3","Future","t4","h6",0,"t1","Future",1
"2.1","4","Future","t4","h6",0,"t1","Future",1
"2.1","5","Future","t4","h6",0,"t1","Future",1
"2.1","6","Future","t4","h6",0,"t1","Future",1
"2.1","7","Future","t4","h6",0,"t1","Future",1
"2.1","8","Future","t4","h6",0,"t1","Future",1
"2.1","9","Future","t4","h6",0,"t1","Future",1
"2.1","10","Future","t4","h6",0,"t1","Future",1
"2.1","11","Future","t4","h6",0,"t1","Future",1
"2.1","12","Future","t4","h6",0,"t1","Future",1
"2.1","1","Future","t9","h6",0,"t1","Future",1
"2.1","2","Future","t9","h6",0,"t1","Future",1
"2.1","3","Future","t9","h6",0,"t1","Future",1
"2.1","4","Future","t9","h6",0,"t1","Future",1
"2.1","5","Future","t9","h6",0,"t1","Future",1
"2.1","6","Future","t9","h6",0,"t1","Future",1
"2.1","7","Future","t9","h6",0,"t1","Future",1
"2.1","8","Future","t9","h6",0,"t1","Future",1
"2.1","9","Future","t9","h6",0,"t1","Future",1
"2.1","10","Future","t9","h6",0,"t1","Future",1
"2.1","11","Future","t9","h6",0,"t1","Future",1
"2.1","12","Future","t9","h6",0,"t1","Future",1
"2.1","1","Contemporary","t1","h7",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h7",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h7",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h7",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h7",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h7",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h7",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h7",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h7",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h7",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h7",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h7",1,"t1","Contemporary",0
"2.1","1","Future","t4","h7",0,"t1","Future",1
"2.1","2","Future","t4","h7",0,"t1","Future",1
"2.1","3","Future","t4","h7",0,"t1","Future",1
"2.1","4","Future","t4","h7",0,"t1","Future",1
"2.1","5","Future","t4","h7",0,"t1","Future",1
"2.1","6","Future","t4","h7",0,"t1","Future",1
"2.1","7","Future","t4","h7",0,"t1","Future",1
"2.1","8","Future","t4","h7",0,"t1","Future",1
"2.1","9","Future","t4","h7",0,"t1","Future",1
"2.1","10","Future","t4","h7",0,"t1","Future",1
"2.1","11","Future","t4","h7",0,"t1","Future",1
"2.1","12","Future","t4","h7",0,"t1","Future",1
"2.1","1","Future","t9","h7",0,"t1","Future",1
"2.1","2","Future","t9","h7",0,"t1","Future",1
"2.1","3","Future","t9","h7",0,"t1","Future",1
"2.1","4","Future","t9","h7",0,"t1","Future",1
"2.1","5","Future","t9","h7",0,"t1","Future",1
"2.1","6","Future","t9","h7",0,"t1","Future",1
"2.1","7","Future","t9","h7",0,"t1","Future",1
"2.1","8","Future","t9","h7",0,"t1","Future",1
"2.1","9","Future","t9","h7",0,"t1","Future",1
"2.1","10","Future","t9","h7",0,"t1","Future",1
"2.1","11","Future","t9","h7",0,"t1","Future",1
"2.1","12","Future","t9","h7",0,"t1","Future",1
"2.1","1","Contemporary","t1","h8",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h8",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h8",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h8",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h8",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h8",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h8",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h8",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h8",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h8",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h8",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h8",1,"t1","Contemporary",0
"2.1","1","Future","t4","h8",0,"t1","Future",1
"2.1","2","Future","t4","h8",0,"t1","Future",1
"2.1","3","Future","t4","h8",0,"t1","Future",1
"2.1","4","Future","t4","h8",0,"t1","Future",1
"2.1","5","Future","t4","h8",0,"t1","Future",1
"2.1","6","Future","t4","h8",0,"t1","Future",1
"2.1","7","Future","t4","h8",0,"t1","Future",1
"2.1","8","Future","t4","h8",0,"t1","Future",1
"2.1","9","Future","t4","h8",0,"t1","Future",1
"2.1","10","Future","t4","h8",0,"t1","Future",1
"2.1","11","Future","t4","h8",0,"t1","Future",1
"2.1","12","Future","t4","h8",0,"t1","Future",1
"2.1","1","Future","t9","h8",0,"t1","Future",1
"2.1","2","Future","t9","h8",0,"t1","Future",1
"2.1","3","Future","t9","h8",0,"t1","Future",1
"2.1","4","Future","t9","h8",0,"t1","Future",1
"2.1","5","Future","t9","h8",0,"t1","Future",1
"2.1","6","Future","t9","h8",0,"t1","Future",1
"2.1","7","Future","t9","h8",0,"t1","Future",1
"2.1","8","Future","t9","h8",0,"t1","Future",1
"2.1","9","Future","t9","h8",0,"t1","Future",1
"2.1","10","Future","t9","h8",0,"t1","Future",1
"2.1","11","Future","t9","h8",0,"t1","Future",1
"2.1","12","Future","t9","h8",0,"t1","Future",1
"2.1","1","Contemporary","t1","h9",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h9",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h9",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h9",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h9",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h9",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h9",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h9",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h9",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h9",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h9",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h9",1,"t1","Contemporary",0
"2.1","1","Future","t4","h9",0,"t1","Future",1
"2.1","2","Future","t4","h9",0,"t1","Future",1
"2.1","3","Future","t4","h9",0,"t1","Future",1
"2.1","4","Future","t4","h9",0,"t1","Future",1
"2.1","5","Future","t4","h9",0,"t1","Future",1
"2.1","6","Future","t4","h9",0,"t1","Future",1
"2.1","7","Future","t4","h9",0,"t1","Future",1
"2.1","8","Future","t4","h9",0,"t1","Future",1
"2.1","9","Future","t4","h9",0,"t1","Future",1
"2.1","10","Future","t4","h9",0,"t1","Future",1
"2.1","11","Future","t4","h9",0,"t1","Future",1
"2.1","12","Future","t4","h9",0,"t1","Future",1
"2.1","1","Future","t9","h9",0,"t1","Future",1
"2.1","2","Future","t9","h9",0,"t1","Future",1
"2.1","3","Future","t9","h9",0,"t1","Future",1
"2.1","4","Future","t9","h9",0,"t1","Future",1
"2.1","5","Future","t9","h9",0,"t1","Future",1
"2.1","6","Future","t9","h9",0,"t1","Future",1
"2.1","7","Future","t9","h9",0,"t1","Future",1
"2.1","8","Future","t9","h9",0,"t1","Future",1
"2.1","9","Future","t9","h9",0,"t1","Future",1
"2.1","10","Future","t9","h9",0,"t1","Future",1
"2.1","11","Future","t9","h9",0,"t1","Future",1
"2.1","12","Future","t9","h9",0,"t1","Future",1
"2.1","1","Contemporary","t1","h10",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h10",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h10",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h10",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h10",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h10",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h10",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h10",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h10",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h10",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h10",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h10",1,"t1","Contemporary",0
"2.1","1","Future","t4","h10",0,"t1","Future",1
"2.1","2","Future","t4","h10",0,"t1","Future",1
"2.1","3","Future","t4","h10",0,"t1","Future",1
"2.1","4","Future","t4","h10",0,"t1","Future",1
"2.1","5","Future","t4","h10",0,"t1","Future",1
"2.1","6","Future","t4","h10",0,"t1","Future",1
"2.1","7","Future","t4","h10",0,"t1","Future",1
"2.1","8","Future","t4","h10",0,"t1","Future",1
"2.1","9","Future","t4","h10",0,"t1","Future",1
"2.1","10","Future","t4","h10",0,"t1","Future",1
"2.1","11","Future","t4","h10",0,"t1","Future",1
"2.1","12","Future","t4","h10",0,"t1","Future",1
"2.1","1","Future","t9","h10",0,"t1","Future",1
"2.1","2","Future","t9","h10",0,"t1","Future",1
"2.1","3","Future","t9","h10",0,"t1","Future",1
"2.1","4","Future","t9","h10",0,"t1","Future",1
"2.1","5","Future","t9","h10",0,"t1","Future",1
"2.1","6","Future","t9","h10",0,"t1","Future",1
"2.1","7","Future","t9","h10",0,"t1","Future",1
"2.1","8","Future","t9","h10",0,"t1","Future",1
"2.1","9","Future","t9","h10",0,"t1","Future",1
"2.1","10","Future","t9","h10",0,"t1","Future",1
"2.1","11","Future","t9","h10",0,"t1","Future",1
"2.1","12","Future","t9","h10",0,"t1","Future",1
"2.1","1","Contemporary","t1","h11",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h11",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h11",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h11",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h11",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h11",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h11",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h11",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h11",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h11",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h11",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h11",1,"t1","Contemporary",0
"2.1","1","Future","t4","h11",1,"t1","Future",0
"2.1","2","Future","t4","h11",1,"t1","Future",0
"2.1","3","Future","t4","h11",1,"t1","Future",0
"2.1","4","Future","t4","h11",1,"t1","Future",0
"2.1","5","Future","t4","h11",1,"t1","Future",0
"2.1","6","Future","t4","h11",1,"t1","Future",0
"2.1","7","Future","t4","h11",1,"t1","Future",0
"2.1","8","Future","t4","h11",1,"t1","Future",0
"2.1","9","Future","t4","h11",1,"t1","Future",0
"2.1","10","Future","t4","h11",1,"t1","Future",0
"2.1","11","Future","t4","h11",1,"t1","Future",0
"2.1","12","Future","t4","h11",1,"t1","Future",0
"2.1","1","Future","t9","h11",0,"t1","Future",1
"2.1","2","Future","t9","h11",0,"t1","Future",1
"2.1","3","Future","t9","h11",0,"t1","Future",1
"2.1","4","Future","t9","h11",0,"t1","Future",1
"2.1","5","Future","t9","h11",0,"t1","Future",1
"2.1","6","Future","t9","h11",0,"t1","Future",1
"2.1","7","Future","t9","h11",0,"t1","Future",1
"2.1","8","Future","t9","h11",0,"t1","Future",1
"2.1","9","Future","t9","h11",0,"t1","Future",1
"2.1","10","Future","t9","h11",0,"t1","Future",1
"2.1","11","Future","t9","h11",0,"t1","Future",1
"2.1","12","Future","t9","h11",0,"t1","Future",1
"2.1","1","Contemporary","t1","h12",1,"t1","Contemporary",0
"2.1","2","Contemporary","t1","h12",1,"t1","Contemporary",0
"2.1","3","Contemporary","t1","h12",1,"t1","Contemporary",0
"2.1","4","Contemporary","t1","h12",1,"t1","Contemporary",0
"2.1","5","Contemporary","t1","h12",1,"t1","Contemporary",0
"2.1","6","Contemporary","t1","h12",1,"t1","Contemporary",0
"2.1","7","Contemporary","t1","h12",1,"t1","Contemporary",0
"2.1","8","Contemporary","t1","h12",1,"t1","Contemporary",0
"2.1","9","Contemporary","t1","h12",1,"t1","Contemporary",0
"2.1","10","Contemporary","t1","h12",1,"t1","Contemporary",0
"2.1","11","Contemporary","t1","h12",1,"t1","Contemporary",0
"2.1","12","Contemporary","t1","h12",1,"t1","Contemporary",0
"2.1","1","Future","t4","h12",0,"t1","Future",1
"2.1","2","Future","t4","h12",0,"t1","Future",1
"2.1","3","Future","t4","h12",0,"t1","Future",1
"2.1","4","Future","t4","h12",0,"t1","Future",1
"2.1","5","Future","t4","h12",0,"t1","Future",1
"2.1","6","Future","t4","h12",0,"t1","Future",1
"2.1","7","Future","t4","h12",0,"t1","Future",1
"2.1","8","Future","t4","h12",0,"t1","Future",1
"2.1","9","Future","t4","h12",0,"t1","Future",1
"2.1","10","Future","t4","h12",0,"t1","Future",1
"2.1","11","Future","t4","h12",0,"t1","Future",1
"2.1","12","Future","t4","h12",0,"t1","Future",1
"2.1","1","Future","t9","h12",0,"t1","Future",1
"2.1","2","Future","t9","h12",0,"t1","Future",1
"2.1","3","Future","t9","h12",0,"t1","Future",1
"2.1","4","Future","t9","h12",0,"t1","Future",1
"2.1","5","Future","t9","h12",0,"t1","Future",1
"2.1","6","Future","t9","h12",0,"t1","Future",1
"2.1","7","Future","t9","h12",0,"t1","Future",1
"2.1","8","Future","t9","h12",0,"t1","Future",1
"2.1","9","Future","t9","h12",0,"t1","Future",1
"2.1","10","Future","t9","h12",0,"t1","Future",1
"2.1","11","Future","t9","h12",0,"t1","Future",1
"2.1","12","Future","t9","h12",0,"t1","Future",1
"2.1","1","Past","t1","h1",1,"t4","Past",0
"2.1","2","Past","t1","h1",1,"t4","Past",0
"2.1","3","Past","t1","h1",1,"t4","Past",0
"2.1","4","Past","t1","h1",1,"t4","Past",0
"2.1","5","Past","t1","h1",1,"t4","Past",0
"2.1","6","Past","t1","h1",1,"t4","Past",0
"2.1","7","Past","t1","h1",1,"t4","Past",0
"2.1","8","Past","t1","h1",1,"t4","Past",0
"2.1","9","Past","t1","h1",1,"t4","Past",0
"2.1","10","Past","t1","h1",1,"t4","Past",0
"2.1","11","Past","t1","h1",1,"t4","Past",0
"2.1","12","Past","t1","h1",1,"t4","Past",0
"2.1","1","Contemporary","t4","h1",0,"t4","Contemporary",1
"2.1","2","Contemporary","t4","h1",0,"t4","Contemporary",1
"2.1","3","Contemporary","t4","h1",0,"t4","Contemporary",1
"2.1","4","Contemporary","t4","h1",0,"t4","Contemporary",1
"2.1","5","Contemporary","t4","h1",0,"t4","Contemporary",1
"2.1","6","Contemporary","t4","h1",0,"t4","Contemporary",1
"2.1","7","Contemporary","t4","h1",1,"t4","Contemporary",0
"2.1","8","Contemporary","t4","h1",0,"t4","Contemporary",1
"2.1","9","Contemporary","t4","h1",0,"t4","Contemporary",1
"2.1","10","Contemporary","t4","h1",0,"t4","Contemporary",1
"2.1","11","Contemporary","t4","h1",0,"t4","Contemporary",1
"2.1","12","Contemporary","t4","h1",0,"t4","Contemporary",1
"2.1","1","Future","t9","h1",0,"t4","Future",1
"2.1","2","Future","t9","h1",0,"t4","Future",1
"2.1","3","Future","t9","h1",0,"t4","Future",1
"2.1","4","Future","t9","h1",0,"t4","Future",1
"2.1","5","Future","t9","h1",0,"t4","Future",1
"2.1","6","Future","t9","h1",0,"t4","Future",1
"2.1","7","Future","t9","h1",0,"t4","Future",1
"2.1","8","Future","t9","h1",0,"t4","Future",1
"2.1","9","Future","t9","h1",0,"t4","Future",1
"2.1","10","Future","t9","h1",0,"t4","Future",1
"2.1","11","Future","t9","h1",0,"t4","Future",1
"2.1","12","Future","t9","h1",0,"t4","Future",1
"2.1","1","Past","t1","h2",1,"t4","Past",0
"2.1","2","Past","t1","h2",1,"t4","Past",0
"2.1","3","Past","t1","h2",1,"t4","Past",0
"2.1","4","Past","t1","h2",1,"t4","Past",0
"2.1","5","Past","t1","h2",1,"t4","Past",0
"2.1","6","Past","t1","h2",1,"t4","Past",0
"2.1","7","Past","t1","h2",1,"t4","Past",0
"2.1","8","Past","t1","h2",1,"t4","Past",0
"2.1","9","Past","t1","h2",1,"t4","Past",0
"2.1","10","Past","t1","h2",1,"t4","Past",0
"2.1","11","Past","t1","h2",1,"t4","Past",0
"2.1","12","Past","t1","h2",1,"t4","Past",0
"2.1","1","Contemporary","t4","h2",0,"t4","Contemporary",1
